Title,Category,Provider,Format,Audience,Cost,Description,URL,Featured,Location,Date
IB Category 1 Workshop,IB Official,International Baccalaureate (IB),Blended,New teachers,Varies,"Introductory workshop for educators new to the IB or to a programme, covering IB philosophy and the fundamentals of delivering a subject or role.",https://ibo.org/professional-development/about-our-workshops/workshop-categories,Yes,Online + in person,
IB Category 2 Workshop,IB Official,International Baccalaureate (IB),Blended,All staff,Varies,"Workshop for experienced IB educators that deepens delivery of the four IB programmes and explores teaching, learning and assessment in more depth.",https://ibo.org/professional-development/about-our-workshops/workshop-categories,,Online + in person,
IB Category 3 Workshop,IB Official,International Baccalaureate (IB),Blended,Subject leads,Varies,"Advanced, specialised workshop that builds on and enhances an educator's professional development portfolio in a focused area of practice.",https://ibo.org/professional-development/about-our-workshops/workshop-categories,,Online + in person,
IB Face-to-Face Workshops,IB Official,International Baccalaureate (IB),Face-to-face,All staff,Varies,"In-person IB workshops hosted at conferences and IB World Schools worldwide, offering immersive collaboration with peers across schools.",https://ibo.org/professional-development/attend-a-workshop/,,In person · Europe,
IB Online Workshops (4-week),IB Official,International Baccalaureate (IB),Online (self-paced),All staff,Varies,"Primarily asynchronous four-week IB workshops led by an experienced online facilitator, ideal for staff who cannot travel.",https://ibo.org/professional-development/workshop-delivery-options/workshops-at-scheduled-events/online-workshops/,,Online,
"IB Virtual Workshops (live, 3-day)",IB Official,International Baccalaureate (IB),Online (live),All staff,Varies,Synchronous three-day virtual workshops that closely resemble the face-to-face experience through a live online platform.,https://ibo.org/professional-development/workshop-delivery-options/workshops-at-scheduled-events/virtual-workshops/,,Online · live,
IB In-School / Team Workshops,IB Official,International Baccalaureate (IB),In-school,All staff,Varies,"School-requested workshops delivered to a whole team on-site or online, tailored to ISH's context to build shared understanding across departments.",https://ibo.org/professional-development/workshop-delivery-options/request-a-workshop/request-an-online-workshop,,In-school,
IB Educator Certificate (IBEC),IB Official,"IB with university partners (Bath, DePaul)",Blended,All staff,Paid,University-accredited certificate (PYP/MYP/DP) combining academic study with IB pedagogy through 50+ partner universities to formalise IB teaching expertise.,https://ibo.org/professional-development/professional-certificates/,,Online / blended,
Instructional Coaching (Impact Cycle),School-Based & Coaching,Instructional Coaching Group (Jim Knight),In-school,All staff,Paid,"Research-based, job-embedded coaching using Jim Knight's Impact Cycle to help teachers refine practice through a partnership approach.",https://www.instructionalcoaching.com/instructional-coaching-program/,Yes,Online or on-site,
Peer Observation & Learning Walks,School-Based & Coaching,International School of The Hague (in-house),In-school,All staff,Free,"Structured, low-stakes classroom visits where colleagues observe practice and share feedback, spreading effective strategies across the school.",,,ISH · The Hague,
